Ticker,Description,Market Capitalization,Last,Change %,Weekly Performance,Volume,Volume*Price,Exponential Moving Average (10),Exponential Moving Average (20),Exponential Moving Average (50),Exponential Moving Average (200),Total Revenue (FY),Sector,EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),
TTML,TATA TELESERVICES,2.17877E+11,117.6,5,-14.41048035,5382087,632933431.2,130.5473072,145.2830657,156.9928971,102.0096484,10436600000,Communications,4716300000,45.3383,,28-Feb-22
DEEPAKFERT,DEEPAK FERTILISERS,64999599464,566,4.99953622,7.25791169,651063,368501658,546.117462,545.7339079,509.4140011,410.9785146,58084900000,Process Industries,11274500000,4.49622,,28-Feb-22
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,6940159415,350.75,4.99925161,4.45205479,90842,31862831.5,331.6903477,317.3875798,274.2296493,,1151793679,Finance,682433000,2.05895,,28-Feb-22
PREMEXPLN,PREMIER EXPLOSIVES,3108472426,303.5,4.9991351,7.66229159,38387,11650454.5,277.9541689,271.3006252,261.7330535,228.4137743,1522030000,Process Industries,241726000,33.1766,,28-Feb-22
JCHAC,JOHNSON CONTROLS-H,47157154126,1815.75,4.9991326,1.34230061,11485,20853888.75,1780.055015,1809.700106,1877.480143,2071.78307,16442300000,Consumer Durables,1343900000,59.2337,,28-Feb-22
KPIGLOBAL,KPI GLOBAL INFRA LTD,7044322970,408.7,4.9967887,-0.54751186,45807,18721320.9,409.3302246,421.6619965,396.0830632,,1022916000,Utilities,,5.20395,,28-Feb-22
ASAL,AUTOMOTIVE STAMPIN,3945475498,256.6,4.99181669,-14.46666667,42753,10970419.8,301.8741356,369.4109644,429.1028571,266.3770866,3391302000,Producer Manufacturing,210995000,1760.71,,28-Feb-22
RAMASTEEL,RAMA STEEL TUBES,5319499698,332.35,4.99131259,3.16622691,126223,41950214.05,327.2502677,335.4686552,329.421076,246.0371508,4697530000,Non-Energy Minerals,333451000,10.2305,,28-Feb-22
SRPL,SHREE RAM PROTEINS LTD.,2425815009,118.9,4.98896247,16,1332162,158394061.8,103.1676741,89.68225947,69.1327891,46.24937704,1525585000,Distribution Services,140168000,17.916,,28-Feb-22
SIRCA,SIRCA PAINT INDIA LTD,11579728831,443.45,4.94616022,-3.61877853,27680,12274696,451.333461,471.3908803,489.3178542,429.2016266,1431019000,Process Industries,376520000,32.7525,,28-Feb-22
DUCON,DUCON INFRATECHNOL,5028756593,25.55,4.92813142,27.43142145,467789,11952008.95,23.02636143,22.92227697,21.50178038,15.20663597,3419538000,Distribution Services,127718000,13.1171,,28-Feb-22
URJA,URJA GLOBAL LTD,7093301605,13.95,4.88721805,-9.70873786,4276564,59658067.8,15.48712662,17.43038329,18.23886866,12.50156874,1484595154,Utilities,6922000,,,28-Feb-22
SUPRAJIT,SUPRAJIT ENG LTD,41356411174,313.6,4.88294314,-2.44205942,302819,94964038.4,323.7871912,348.2324764,379.048279,352.0168571,16408550000,Producer Manufacturing,2650480000,15.7689,,28-Feb-22
JINDRILL,JINDAL DRILLING,5244130662,190.35,4.87603306,4.13019694,190252,36214468.2,186.3889921,183.9790575,169.5356575,140.3565229,3978553000,Industrial Services,759525000,8.78539,,28-Feb-22
RTNPOWER,RATTANINDIA POWER,27924549952,5.4,4.85436893,-1.81818182,5143168,27773107.2,5.59455148,5.97804374,6.16216405,5.24717681,15598612000,Utilities,8373900000,13.1806,,28-Feb-22
GREENPOWER,ORIENT GREEN POWER,7845065009,10.95,4.784689,-13.77952756,5340212,58475321.4,11.9322471,13.46009046,14.65800792,9.4730951,2547500000,Utilities,2199000000,9.01709,,28-Feb-22
