Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,Debt,EVEBITDA,Price to Earning,Dividend yield,Dividend last year,Sales latest quarter,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year
Unitech,507878,UNITECH,Construction,7.35,-854.43,1764.83,7167.05,142.74,,0.00,0.00,97.45,-25.04,67.35,42.31,1.71,673.38,-632.78,-5.59,0.00,-627.19,86.69,-25.70,91.52,-1.93,6.22,4.29,1.45,668.07,-665.23,-1.98,-555.57,0.00,-663.24,-2.11,160.20,-3.70,6.70,3.00,1.43,264.46,-262.89,12.20,-303.98,0.00,-307.20,-2.31,405.52,-26.52,86.39,59.82,6.25,3167.38,-3113.76,-10.47,-2787.69,0.05,-3103.28
United Breweries,532478,UBL,Breweries & Distilleries,1696.95,4013.95,44888.42,15.40,75.59,157.78,0.44,198.30,1890.05,184.29,12.09,196.38,50.92,1.43,144.03,36.86,0.00,107.17,44.68,9.75,2274.79,223.09,10.42,233.51,51.38,1.66,180.47,44.13,136.21,0.00,136.34,9.81,1682.31,219.42,14.16,233.58,52.04,0.99,180.55,46.43,134.05,0.00,134.12,13.04,7499.92,616.23,16.31,664.31,210.59,4.64,417.31,112.63,326.54,-31.77,304.68
United Drilling,522014,UNIDT,Engineering,286.75,248.41,581.35,36.68,30.96,62.04,0.63,3.65,31.39,4.84,0.75,5.59,1.27,0.74,3.58,0.67,0.00,2.91,37.40,15.42,17.59,3.69,0.14,3.83,1.22,0.45,2.16,0.64,1.53,0.00,1.53,20.98,34.26,3.74,0.13,3.87,0.99,0.25,2.63,0.42,2.21,0.00,2.21,10.92,119.83,19.17,0.60,19.76,4.13,0.83,14.81,4.54,10.26,0.01,10.27
United Nilgiri,,UNITEDTEA,Tea,321.30,197.88,160.54,0.00,7.14,11.16,0.84,1.35,19.16,4.23,1.49,5.72,0.89,0.03,4.80,0.92,0.00,3.89,80.22,22.08,19.36,4.90,1.97,6.87,0.88,0.03,5.96,1.12,4.84,0.00,4.84,25.31,23.28,3.35,1.29,4.64,0.89,0.03,3.72,0.72,3.00,0.00,3.00,14.39,83.65,13.75,4.92,17.63,3.65,0.10,14.92,2.81,11.28,1.04,12.12
United Polyfab,,UNITEDPOLY,Textiles - Products,100.75,68.62,211.09,111.24,9.72,27.13,0.00,0.00,240.09,7.42,0.52,7.94,3.18,2.19,2.57,0.93,0.00,1.64,7.55,3.09,210.46,7.97,1.66,9.63,3.42,2.34,3.87,0.57,3.29,0.00,3.29,3.79,147.86,6.73,0.20,6.93,3.15,2.21,1.57,0.76,0.81,0.00,0.81,4.55,652.60,28.96,0.90,29.86,12.63,9.17,8.06,2.58,5.48,0.00,5.48
United Spirits,532432,MCDOWELL-N,Breweries & Distilleries,1086.25,6810.50,79051.40,202.80,41.65,61.56,0.37,0.00,2867.40,466.30,70.80,506.40,65.30,26.20,445.60,106.30,30.70,339.30,43.47,16.26,2667.80,713.00,4.60,734.70,74.30,4.30,639.00,162.30,489.46,-17.10,476.70,26.73,2911.00,436.80,389.10,444.40,65.90,21.00,739.00,191.30,264.96,381.50,547.70,15.01,10611.60,1403.50,261.50,1451.70,282.50,103.90,1278.60,152.80,959.44,213.30,1125.80
United Van Der,522091,,Miscellaneous,198.50,38.03,116.03,26.11,20.10,55.78,0.00,0.00,6.04,1.54,0.12,1.66,0.50,0.71,0.45,0.12,0.00,0.33,62.09,25.50,5.62,1.86,0.11,1.97,0.46,0.71,0.80,0.27,0.53,0.00,0.53,33.10,3.54,1.37,0.12,1.49,0.30,0.46,0.73,-0.05,0.78,0.00,0.78,38.70,16.71,5.85,0.51,6.36,1.42,1.86,3.08,0.74,2.34,0.00,2.34
Univastu India,,UNIVASTU,Construction,105.05,47.45,119.38,34.27,8.43,18.34,0.00,0.00,24.53,4.08,1.15,5.23,0.33,1.59,3.31,0.98,0.00,2.33,68.81,16.63,26.78,2.96,0.43,3.39,0.23,1.48,1.68,0.46,1.00,0.00,1.22,11.05,17.55,4.27,0.09,4.36,0.22,1.44,2.70,0.68,2.02,0.00,2.02,24.33,86.21,15.33,0.40,15.73,0.89,5.83,9.01,2.36,6.63,0.00,6.64
Universal Auto.,539314,,Castings & Forgings,210.05,62.62,261.19,34.91,12.40,26.71,0.00,0.00,52.28,3.56,0.10,3.66,1.55,0.53,1.58,0.46,0.00,1.13,39.21,6.81,57.56,6.96,0.12,7.08,1.49,0.69,4.90,1.35,3.56,0.00,3.56,12.09,62.15,5.03,0.26,5.29,1.65,0.80,2.84,0.79,2.05,0.00,2.05,8.09,236.18,24.63,0.94,25.57,6.83,3.97,14.77,4.28,10.49,0.00,10.49
Universal Cables,504212,UNIVCABLES,Cables - Power,511.55,1668.50,1776.71,760.54,10.21,17.56,0.59,10.41,494.39,23.19,18.41,41.60,5.59,21.95,14.06,2.41,0.00,11.65,22.29,4.69,479.41,36.64,22.46,59.10,5.62,21.47,32.01,7.97,24.05,0.00,24.05,7.64,514.28,46.27,15.44,61.71,5.65,24.37,31.69,5.78,25.91,0.00,25.91,9.00,2201.75,185.37,86.02,271.37,22.48,97.41,151.50,33.35,118.14,0.02,118.15
Universal Starch,524408,,Miscellaneous,165.30,63.30,69.43,67.54,5.76,7.60,0.00,0.00,119.88,4.09,0.56,4.65,1.43,2.19,1.03,0.27,0.00,0.76,18.49,3.41,135.96,6.69,0.30,6.99,1.39,1.77,3.83,-0.46,4.29,0.00,4.29,4.92,119.41,2.65,0.84,3.49,1.26,1.98,0.25,0.09,0.15,0.00,0.15,2.22,515.76,17.33,2.96,20.29,5.09,7.10,8.10,2.20,5.90,0.00,5.90
Universus Photo,542933,UNIVPHOTO,Photographic And Allied Products,398.60,967.60,435.90,0.00,-3.18,,0.00,10.95,7.86,-52.64,6.13,-46.51,0.06,0.00,-46.57,1.65,0.00,-48.22,33.08,-669.72,7.67,-42.50,10.14,-32.36,0.07,0.00,-32.43,2.76,-35.19,0.00,-35.19,-554.11,12.28,-12.58,1.42,-11.16,0.07,0.00,-11.23,2.04,-13.27,0.00,-13.27,-102.44,43.22,-72.88,33.64,-72.38,0.27,0.00,-39.51,4.96,-77.61,33.14,-44.47
Uno Minda,532539,UNOMINDA,Auto Ancillaries,664.95,4445.08,38107.51,1648.77,25.29,51.33,0.23,85.95,3621.30,401.55,62.11,463.66,125.40,27.21,311.05,73.34,0.00,237.71,34.37,11.09,3092.66,330.06,38.16,368.22,119.01,25.18,224.03,43.86,172.75,0.00,180.17,10.67,2876.84,318.44,44.87,363.31,107.23,19.15,236.93,54.58,170.12,0.00,182.35,11.07,11236.49,1241.98,148.82,1384.22,429.93,69.52,891.35,191.12,648.94,6.58,700.23
Updater Services,543996,UDS,Miscellaneous,306.15,730.45,2044.07,221.32,23.93,59.80,0.00,0.00,359.24,18.70,0.91,19.61,4.49,5.17,9.95,1.99,0.00,7.95,100.00,5.21,351.60,13.48,0.98,14.46,4.27,4.57,5.62,0.25,5.37,0.00,5.37,3.83,336.13,23.52,2.20,25.72,3.45,3.16,19.11,1.39,17.72,0.00,17.72,7.00,1308.54,39.22,26.19,67.45,15.15,12.41,37.85,5.44,34.18,-2.04,32.41
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,598.75,28863.00,44935.23,34936.00,8.89,26.32,1.67,750.00,10170.00,1121.00,18.00,1226.00,657.00,871.00,-389.00,-96.00,-87.00,-293.00,48.55,11.02,8963.00,1216.00,58.00,1317.00,636.00,700.00,-62.00,-164.00,-22.84,-43.00,102.00,13.57,12507.00,2417.00,35.00,2495.00,608.00,644.00,1200.00,231.00,837.15,-43.00,969.00,19.33,53576.00,10196.00,464.00,10809.00,2547.00,2963.00,5150.00,736.00,3653.86,-149.00,4414.00
Upsurge Invest.,531390,,Finance & Investments,34.94,42.46,52.93,0.06,14.43,22.33,1.43,0.76,9.70,3.21,0.00,3.21,0.01,0.03,3.17,0.55,0.00,2.62,37.53,33.09,11.00,3.75,0.00,3.75,0.01,0.03,3.71,0.29,3.42,0.00,3.42,34.09,11.81,2.75,0.00,2.75,0.01,0.02,2.72,0.55,2.17,0.00,2.17,23.29,32.64,1.07,0.00,1.07,0.03,0.17,0.87,0.37,0.50,0.00,0.50
Upsurge Seeds,,USASEEDS,Miscellaneous,435.00,41.45,307.11,12.91,26.95,42.07,0.00,0.00,72.90,4.79,,,,,,,,2.68,,,53.24,7.02,,,,,,,,,4.62,,29.68,1.24,,,,,,,,,0.14,,82.89,8.26,0.06,8.32,1.06,2.10,5.16,0.41,4.76,0.00,4.76
UR Sugar,539097,,Trading,14.34,17.60,75.29,0.10,7131.00,,0.00,0.00,0.00,-0.20,0.05,-0.15,0.03,0.00,-0.18,0.00,0.00,-0.18,,,0.00,-0.20,0.02,-0.18,0.03,0.00,-0.21,-0.04,-0.15,0.00,-0.16,,,,,,,,,,,,,,9.03,-0.09,0.14,0.01,0.13,0.18,-0.26,-0.02,-0.26,0.04,-0.25
Uravi T & Wedge,543930,URAVI,Auto Ancillaries,330.60,24.59,362.79,26.48,69.28,412.26,0.00,0.00,10.62,1.74,0.19,1.93,0.58,0.56,0.79,0.22,0.00,0.58,53.30,16.38,8.76,1.46,0.18,1.64,0.57,0.54,0.53,-0.09,0.62,0.00,0.62,16.67,9.24,1.80,0.18,1.98,0.56,0.70,0.72,0.36,0.36,0.00,0.36,19.48,33.90,4.88,0.71,5.60,2.19,2.12,1.28,0.41,0.88,-0.01,0.87
Urban Enviro,,URBAN,Miscellaneous,410.00,17.87,177.53,20.69,24.78,84.94,0.12,0.00,46.46,9.22,,,,,,,,4.00,,,,,,,,,,,,,,,15.17,2.77,,,,,,,,,0.30,,39.16,7.82,0.22,7.94,3.53,1.52,2.99,0.83,2.09,0.10,2.16
Urja Global,526987,URJA,Trading,14.35,173.36,753.00,5.65,225.02,351.87,0.00,0.00,10.96,0.78,0.36,1.14,0.09,0.16,0.89,0.00,0.00,0.90,21.53,7.12,9.67,0.46,0.35,0.81,0.09,0.18,0.54,0.00,0.54,0.00,0.54,4.76,9.37,0.97,0.34,1.31,0.01,0.25,1.05,0.00,1.06,0.00,1.06,10.35,39.58,1.37,1.83,3.20,0.31,0.91,1.98,0.45,1.53,0.00,1.53
Usha Martin,517146,USHAMART,Steel - Medium / Small,310.85,2152.99,9468.28,422.69,15.54,23.71,0.80,76.35,784.70,144.32,24.54,168.86,17.99,6.40,144.47,34.95,0.00,109.52,49.52,18.39,814.38,145.68,6.57,152.25,17.63,5.52,129.10,28.34,100.73,0.00,100.76,17.89,820.22,115.02,9.45,124.47,16.77,7.51,100.19,21.21,78.88,0.00,78.98,14.02,3267.76,513.33,39.80,551.92,67.48,30.27,455.38,104.78,349.21,1.21,350.60
Ushanti Colour,,UCL,Dyes And Pigments,68.90,45.40,73.73,45.66,35.97,,0.00,0.00,20.73,0.72,,,,,,,,-1.55,,,16.99,-0.84,,,,,,,,,1.01,,27.00,0.78,,,,,,,,,-0.03,,43.99,0.00,3.22,0.71,1.68,0.62,0.92,-0.06,-1.53,2.51,0.98
UTI AMC,543238,UTIAMC,Finance & Investments,870.90,3975.17,11057.60,0.00,13.79,19.63,2.53,279.36,404.06,231.52,1.52,233.04,10.44,2.84,219.76,36.95,0.00,182.81,100.00,57.30,467.77,299.79,0.80,300.59,9.63,2.54,288.42,54.01,234.41,0.00,234.41,64.09,435.00,270.00,4.13,274.13,9.97,2.38,261.78,59.74,199.71,0.00,202.04,62.07,1266.91,612.09,23.02,635.27,39.94,9.55,585.62,145.94,437.48,-0.16,439.68
Utkarsh Small F.,543942,UTKARSHBNK,Banks - Private Sector,53.00,2201.41,5816.79,16059.62,11.14,12.95,0.00,0.00,756.32,364.06,105.17,469.23,0.00,314.80,154.43,40.01,0.00,114.42,100.00,48.14,720.50,351.12,91.90,443.02,0.00,298.46,144.56,37.07,107.50,0.00,107.50,48.73,602.21,268.28,74.49,342.77,0.00,225.52,117.25,29.54,87.71,0.00,87.71,44.55,2504.98,1271.11,299.31,1570.38,58.66,975.95,535.81,131.31,404.47,0.04,404.50
Uttam Sug.Mills,532729,UTTAMSUGAR,Sugar,412.90,613.31,1574.42,356.17,6.81,11.04,0.61,9.54,604.03,42.91,2.11,45.02,9.53,13.91,21.58,5.95,0.00,15.63,16.94,7.10,460.05,66.47,1.72,68.19,9.37,17.51,41.31,10.34,30.97,0.00,30.97,14.45,454.53,5.95,2.23,8.18,9.04,13.58,-14.44,-4.40,-10.04,0.00,-10.04,1.31,2058.87,244.82,8.81,253.43,36.26,52.40,164.97,41.34,123.47,0.20,123.62
V I P Inds.,507880,VIPIND,Moulded Luggage,612.20,715.57,8686.37,529.40,32.42,64.09,0.74,63.74,546.09,52.88,2.57,55.45,23.82,12.36,19.27,5.99,0.00,13.28,55.51,9.68,636.13,80.60,28.42,83.24,20.88,10.77,77.37,19.62,38.51,25.78,57.75,12.67,514.74,71.58,5.28,76.86,17.97,6.92,51.97,8.57,43.40,0.00,43.40,13.91,2082.32,317.08,-15.51,331.54,73.66,31.38,196.53,44.19,174.19,-29.97,152.34
V-Guard Industri,532953,VGUARD,Electric Equipment,289.60,1644.86,12557.14,366.72,37.04,67.05,0.45,56.19,1071.86,80.29,13.50,93.79,16.44,8.97,68.38,16.39,0.00,51.99,31.82,7.49,1147.68,88.24,11.13,99.37,16.62,10.77,71.98,18.85,53.13,0.00,53.13,7.69,981.07,71.10,3.06,74.16,14.00,1.81,58.35,15.20,43.15,0.00,43.15,7.25,4049.60,300.89,14.84,315.86,58.44,15.92,241.37,62.04,179.42,-0.13,179.32
V-Marc India,,VMARCIND,Cables - Power,169.95,85.19,387.24,136.42,14.54,28.58,0.00,0.00,175.03,17.31,,,,,,,,5.50,,,132.53,15.82,,,,,,,,,8.05,,114.75,8.96,,,,,,,,,2.40,,244.99,26.01,2.56,28.57,2.55,12.39,13.63,3.19,10.45,0.00,10.45
V-Mart Retail,534976,VMART,Trading,1862.75,762.99,3686.19,1419.15,26.57,,0.00,0.00,549.43,0.67,1.99,2.66,53.19,35.89,-86.42,-22.30,0.00,-64.12,34.61,0.12,678.52,52.46,1.51,53.97,49.91,33.02,-28.96,-7.02,-21.95,0.00,-21.95,7.73,506.16,53.59,2.65,56.24,44.05,27.87,-15.68,-4.37,-11.31,0.00,-11.31,10.59,2464.84,268.91,14.97,281.68,179.98,116.91,-13.01,-5.16,-10.05,2.20,-7.85
V2 Retail,532867,V2RETAIL,Textiles - Products,256.40,247.55,870.09,445.33,11.33,404.69,0.00,0.00,231.32,19.88,2.13,22.01,18.24,12.25,-8.48,-2.79,0.00,-5.70,34.57,8.59,263.61,35.58,1.39,36.97,18.15,10.44,8.38,2.14,6.24,0.00,6.24,13.50,194.51,10.07,1.18,11.25,15.65,11.08,-15.48,-3.88,-11.59,0.00,-11.59,5.18,838.88,85.45,6.67,92.06,67.05,42.02,-16.95,-4.13,-12.88,0.06,-12.82
Va Tech Wabag,533269,WABAG,Engineering,633.65,1678.30,3945.63,283.10,9.76,13.15,0.00,0.00,665.00,86.10,15.70,101.80,2.10,16.80,82.90,22.80,0.00,60.10,99.56,12.95,552.80,55.80,25.70,81.50,1.70,15.80,64.00,14.40,49.60,0.00,49.60,10.09,750.38,53.74,25.14,78.88,2.23,17.01,59.64,13.18,46.46,0.00,46.46,7.16,2960.48,317.82,-226.38,375.44,8.81,65.80,16.83,5.90,48.39,-284.00,10.93
Vaarad Ventures,532320,,Finance & Investments,15.33,22.59,383.10,3.47,-2973.31,,0.00,0.00,0.00,-0.03,0.00,-0.03,0.02,0.00,-0.05,0.00,0.00,-0.05,,,0.00,-0.06,0.00,-0.06,0.02,0.00,-0.08,0.00,-0.09,0.00,-0.09,,0.00,-0.02,0.00,-0.02,0.02,0.00,-0.04,0.00,-0.05,0.00,-0.05,,0.00,-0.13,0.00,-0.13,0.10,0.00,-0.23,0.00,-0.23,0.00,-0.23
Vadilal Enterp.,519152,,Trading,3343.15,24.80,287.52,23.20,12.97,39.55,0.04,0.13,244.04,7.57,1.20,8.77,3.21,0.86,4.70,1.18,0.00,3.52,21.65,3.10,434.73,16.43,1.00,17.43,2.88,0.54,14.01,3.53,10.49,0.00,10.49,3.78,214.16,-1.74,1.18,-0.56,2.76,0.30,-3.62,-0.90,-2.73,0.00,-2.73,-0.81,930.09,8.97,12.04,19.95,11.07,1.34,8.60,2.44,5.48,1.06,6.15
Vadilal Inds.,519156,VADILALIND,Food - Processing - Indian,2299.00,505.97,1652.44,184.95,8.16,12.85,0.07,1.08,288.71,58.95,4.37,63.32,8.78,4.32,50.22,12.17,0.00,38.05,50.09,20.42,410.91,104.26,1.60,105.86,8.52,5.56,91.78,20.76,71.02,0.00,71.02,25.37,267.04,44.18,3.91,48.09,7.85,2.79,37.45,10.12,27.33,0.00,27.33,16.54,1057.86,166.17,10.12,179.63,29.88,15.85,130.56,34.27,98.76,-3.34,96.30
Vadivarhe Speci.,,VSCL,Chemicals,41.75,2.67,53.37,25.03,52.97,,0.00,0.00,14.10,-0.91,0.30,-2.09,0.45,0.36,-2.90,0.00,0.00,-3.75,18.91,-41.86,22.32,1.74,0.29,-1.47,0.46,0.48,-2.15,0.00,-2.41,0.26,0.98,-26.83,21.36,1.56,0.07,-0.18,0.46,0.30,-0.94,0.00,-0.93,0.00,0.17,-5.72,43.68,3.46,1.09,4.19,1.79,1.61,1.15,0.00,0.79,0.36,1.15
Vaibhav Global,532156,VAIBHAVGBL,Diamond Cutting / Jewellery,410.45,1222.86,6795.91,185.31,26.04,56.23,1.46,98.94,705.00,63.49,3.42,66.91,22.62,2.91,41.38,12.35,0.00,29.03,63.92,9.01,658.25,58.09,7.43,65.52,22.24,2.79,40.49,10.92,29.57,0.00,29.57,8.82,646.26,49.86,2.20,52.06,18.50,2.39,31.17,8.13,22.93,0.00,23.04,7.72,2690.91,199.63,27.63,227.25,77.75,8.20,141.31,36.16,104.95,0.01,105.14
Vaidya Sane,,MADHAVBAUG,Trading,221.50,54.80,232.87,4.01,29.15,71.00,0.23,0.26,51.10,2.69,,,,,,,,1.18,,,53.58,3.68,,,,,,,,,2.10,,45.59,4.16,,,,,,,,,2.73,,99.17,8.53,1.36,9.89,2.60,0.86,6.43,1.60,4.83,0.00,4.83
Vaishali Pharma,,VAISHALI,Trading,188.90,44.28,200.16,15.04,19.49,31.32,0.00,0.00,12.57,2.65,0.30,2.95,0.12,0.47,2.36,0.66,0.00,1.70,34.37,21.08,13.42,2.31,0.36,2.67,0.12,0.43,2.12,0.53,1.59,0.00,1.59,17.21,13.16,2.59,0.74,3.33,0.14,0.53,2.66,0.66,1.99,0.00,1.99,19.68,69.66,9.38,2.23,11.61,0.50,2.26,8.85,2.24,6.60,0.00,6.60
Vakrangee,511431,VAKRANGEE,Computers - Software - Converts,20.25,119.30,2146.63,53.28,89.52,1333.31,0.25,5.30,51.54,5.92,0.87,6.68,3.97,1.83,0.99,0.57,0.11,0.42,28.02,11.49,55.59,6.62,0.31,6.93,3.95,1.99,0.99,0.49,0.49,0.00,0.49,11.91,234.07,9.64,1.36,11.00,4.19,0.00,6.81,1.99,4.82,0.00,4.82,4.12,197.30,18.57,1.14,19.97,15.51,1.52,2.68,1.68,1.10,-0.26,1.00
Valiant Commun.,526775,,Telecommunications - Equipment,322.65,35.27,232.95,1.64,30.55,59.13,0.00,0.00,11.10,2.25,0.18,2.43,0.55,0.04,1.84,0.40,0.00,1.43,50.09,20.27,9.66,1.64,0.13,1.77,0.54,0.04,1.19,0.30,0.89,0.00,0.89,16.98,7.87,1.02,0.04,1.06,0.52,0.01,0.53,0.16,0.37,0.00,0.37,12.96,31.50,4.32,0.13,4.43,2.12,0.09,2.24,0.56,1.67,0.02,1.68
Valiant Laborato,543998,VALIANTLAB,Pharmaceuticals - Indian - Formulations,178.65,105.55,777.14,60.87,20.92,26.80,0.00,0.00,59.55,-1.39,2.96,1.57,0.49,0.02,1.06,0.27,0.00,0.79,7.94,-2.33,51.41,3.82,2.44,6.26,0.46,0.02,5.78,1.51,4.27,0.00,4.27,7.43,87.96,10.68,1.47,12.15,0.37,0.17,11.61,2.96,8.66,0.00,8.66,12.14,333.91,35.09,4.86,39.95,1.56,0.25,38.14,9.14,29.00,0.00,29.00
Valiant Organics,540145,VALIANTORG,Chemicals,492.15,705.99,1356.96,245.88,11.34,21.98,0.20,2.72,203.10,15.49,3.63,19.12,8.89,3.82,6.41,1.66,0.00,4.75,33.65,7.63,201.84,23.86,8.96,27.07,8.67,4.31,19.84,4.91,8.82,5.75,14.93,11.82,264.07,41.89,1.88,43.77,7.16,2.51,34.10,8.54,20.96,0.00,25.56,15.86,1051.80,164.23,12.93,172.20,29.19,10.79,137.18,34.61,84.88,4.96,102.56
Varanium Cloud,,CLOUD,Computers - Software - Medium / Small,106.55,237.36,428.40,0.00,1.94,2.87,3.99,10.05,377.33,125.73,0.00,57.19,2.10,0.00,55.09,14.41,0.00,90.22,34.11,33.52,259.82,83.94,0.00,44.33,1.95,0.00,42.38,12.89,29.49,0.00,59.07,29.49,123.55,35.33,0.00,32.94,0.53,0.00,32.41,7.91,24.50,0.00,26.38,63.19,383.36,119.27,0.01,119.28,2.10,0.00,117.18,31.72,85.46,0.00,85.46
Vardhman Acrylic,,VARDHACRLC,Textiles - Manmade,61.90,251.99,497.46,0.01,14.67,23.80,4.04,20.09,86.41,5.32,3.95,9.27,1.42,0.07,7.78,1.60,0.00,6.18,33.63,6.16,80.80,-1.50,3.54,2.04,1.40,0.06,0.58,0.12,0.46,0.00,0.46,-1.86,118.60,7.55,2.91,10.46,1.38,0.06,9.02,2.14,6.88,0.00,6.88,6.37,426.66,36.24,12.63,49.01,5.49,0.29,43.09,10.24,32.96,-0.14,32.86
Vardhman Hold.,500439,VHL,Finance & Investments,3036.60,3210.59,977.61,0.00,5.25,5.44,0.16,1.60,30.27,29.53,39.34,68.87,0.00,0.00,68.87,6.94,0.00,61.93,100.00,97.56,5.90,5.43,39.76,45.19,0.00,0.00,45.19,1.40,43.79,0.00,43.79,92.03,2.11,1.43,57.16,58.59,0.00,0.00,58.59,-1.92,60.51,0.00,60.51,67.77,5.88,1.52,223.41,224.93,0.01,0.00,224.92,-3.51,228.43,0.00,228.43
Vardhman Polytex,514175,VARDMNPOLY,Textiles - Cotton/Blended,58.85,-376.21,159.78,451.20,-19.04,,0.00,0.00,100.60,-20.25,1.79,-18.46,2.65,12.96,-34.07,0.00,0.00,-34.07,-5.61,-20.13,135.53,-3.17,19.79,16.62,2.74,12.83,1.05,0.00,1.05,0.00,1.05,-2.34,101.05,-5.53,26.69,-4.68,3.11,14.78,3.27,0.00,-22.57,25.84,3.27,-5.47,614.99,-36.16,103.26,-30.01,12.19,53.41,1.50,0.00,-95.62,97.11,1.49
Vardhman Special,534392,VSSL,Steel - Medium / Small,227.50,663.25,1849.36,169.62,13.15,23.36,0.88,8.13,415.19,31.13,5.62,36.75,7.31,4.64,24.80,6.34,0.00,18.46,26.76,7.50,409.36,29.23,7.24,36.47,7.25,4.21,25.01,6.43,18.57,0.00,18.57,7.14,443.16,34.85,14.20,49.05,7.03,4.46,37.56,9.55,28.01,0.00,28.01,7.86,1734.99,141.33,38.75,179.89,28.12,17.65,134.31,33.85,100.31,0.19,100.45
Vardhman Textile,502986,VTL,Textiles - Cotton/Blended,404.65,8834.96,11693.65,1514.99,10.52,21.98,0.86,99.56,2397.46,205.36,98.20,303.56,103.71,22.01,177.84,41.73,0.00,136.11,39.68,8.57,2318.30,215.44,103.12,318.56,104.67,32.38,181.51,44.91,136.47,0.00,136.60,9.29,2469.58,357.92,40.72,398.64,98.77,24.86,275.01,68.10,204.90,0.00,206.91,14.49,10137.49,1323.99,232.50,1552.30,394.43,102.15,1059.91,255.16,792.02,4.19,804.75
Variman Global,540570,,Computers - Software - Medium / Small,15.47,33.92,301.02,30.98,58.52,152.03,0.00,0.00,33.53,2.31,0.89,3.20,0.10,0.69,2.41,0.32,0.00,2.10,12.59,6.89,25.43,-0.51,1.00,0.49,0.16,0.65,-0.32,0.05,-0.37,0.00,-0.37,-2.01,27.50,0.37,0.66,1.03,0.06,0.60,0.37,0.06,0.32,0.00,0.32,1.35,116.06,0.77,4.02,4.79,0.26,2.23,2.30,0.49,1.64,0.00,1.82
Varroc Engineer,541578,VARROC,Auto Ancillaries,533.20,1034.54,8160.50,1442.39,12.75,49.07,0.00,0.00,1886.81,194.26,14.80,209.06,84.89,50.26,73.91,18.20,0.00,55.72,36.72,10.30,1805.69,182.68,-9.30,194.30,80.16,48.90,44.32,10.21,52.04,-20.92,34.12,10.12,1834.11,143.84,-762.78,156.71,77.26,48.79,-744.99,49.77,-19.12,-775.65,-794.77,7.84,6863.07,546.70,-792.71,599.00,336.74,190.30,-773.05,44.07,-828.04,-845.01,-817.13
Varun Beverages,540180,VBL,Food - Processing - Indian,1171.65,6488.55,152101.60,3726.41,43.47,76.10,0.11,227.34,3870.52,881.72,18.51,900.23,170.81,62.50,666.92,152.86,0.00,514.06,55.31,22.78,5611.40,1510.78,41.60,1552.38,171.93,69.37,1311.08,305.66,993.81,0.00,1005.42,26.92,3176.62,698.99,10.62,709.61,153.14,45.29,511.18,115.69,381.04,0.00,395.49,22.00,13173.14,2863.00,-18.08,2901.48,617.19,204.09,2023.64,473.53,1539.90,-56.56,1550.11
Vasa Denticity,,DENTALKART,Trading,665.00,56.37,1065.07,0.46,96.60,140.14,0.00,0.00,76.82,6.83,,,,,,,,6.28,,,,,,,,,,,,,,,57.50,4.33,,,,,,,,,3.13,,123.15,10.36,0.53,10.89,0.54,0.40,9.95,2.35,7.60,0.00,7.60
Vascon Engineers,533156,VASCONEQ,Construction,72.20,939.67,1567.36,186.32,12.88,15.91,0.35,0.00,217.10,10.49,18.28,28.77,3.68,3.88,21.21,0.55,0.00,20.66,19.03,4.83,204.46,14.54,4.07,18.61,3.11,3.20,12.30,0.40,11.90,0.00,11.90,7.11,217.34,11.05,17.97,29.02,2.99,3.29,22.74,0.08,22.66,0.00,22.66,5.08,1019.38,117.55,11.04,128.48,11.92,13.38,103.29,3.88,97.39,0.11,99.41
Vasundhara Rasy.,538634,,Pharmaceuticals - Indian - Bulk Drugs & Formln,198.00,31.23,62.93,1.18,9.45,13.95,1.01,0.64,9.32,1.70,0.27,1.97,0.06,0.03,1.88,0.49,0.00,1.39,55.58,18.24,8.33,0.97,0.42,1.39,0.04,0.06,1.29,0.34,0.96,0.00,0.96,11.64,10.03,2.36,1.52,3.88,0.04,0.00,3.84,1.00,2.84,0.00,2.84,23.53,37.88,5.56,2.30,7.86,0.13,0.25,7.48,1.89,5.59,0.00,5.59
