NSE_Code,Date,NSE_Volume,NSE_Delivery,Segment,Traded,Price,PrevClose,Company Name,BSE_Code
NIFTYETF,231019,30436,28834,EQ,30436,206.99,207.13,,
NIFTYQLITY,231019,9899,6186,EQ,9899,16.78,16.65,,
NIITMTS,231019,373306,234927,EQ,373306,399.9,410.25,,
NPBET,231019,272,237,EQ,272,233.16,234.78,,
NUVAMA,231019,114280,69870,EQ,114280,2561.15,2353.55,,
NV20BEES,231019,8741,7713,EQ,8741,118.12,118.4,,
ORIENTCER,231019,1082485,612350,EQ,1082485,49.05,44.6,,
PHARMABEES,231019,713573,346665,EQ,713573,15.52,15.58,,
PROZONER,231019,1454941,661039,EQ,1454941,35.55,35.2,,
PSUBANKICI,231019,120340,70418,EQ,120340,50.61,50.58,,
PSUBNKBEES,231019,1140586,536099,EQ,1140586,55.81,55.95,,
QGOLDHALF,231019,54312,23061,EQ,54312,50.63,50.43,,
QNIFTY,231019,141,50,EQ,141,2095.23,2100.49,,
REDTAPE,231019,280435,102364,EQ,280435,537.2,525.8,,
SANDUMA,231019,19656,11528,EQ,19656,1647.9,1645.9,,
SBIETFCON,231019,2752,1868,EQ,2752,87.19,87.04,,
SBIETFIT,231019,8632,5911,EQ,8632,331.17,331.75,,
SBIETFPB,231019,2807,2369,EQ,2807,230.18,230.84,,
SBIETFQLTY,231019,1854,1286,EQ,1854,175.55,174.95,,
SDL24BEES,231019,44,35,EQ,44,116.5,116.54,,
SDL26BEES,231019,625,625,EQ,625,115.39,115.49,,
SECMARK,231019,48821,6398,EQ,48821,95.65,92.55,,
SENSEXETF,231019,1625,1336,EQ,1625,67.38,66.22,,
SETF10GILT,231019,1679,1564,EQ,1679,217.75,217.78,,
SETFGOLD,231019,441415,295700,EQ,441415,52.27,52.29,,
SETFNIF50,231019,143997,113727,EQ,143997,204.86,205.36,,
SETFNIFBK,231019,488822,403794,EQ,488822,442.98,444.34,,
SETFNN50,231019,6302,5149,EQ,6302,471.94,474.74,,
SHARIABEES,231019,657,381,EQ,657,440.86,440.92,,
SILVER,231019,85958,66365,EQ,85958,72.77,73.34,,
SILVERBEES,231019,2345762,1681803,EQ,2345762,70.28,70.85,,
SILVERETF,231019,85966,40812,EQ,85966,70.86,71.62,,
SILVRETF,231019,8599,3365,EQ,8599,71.68,71.94,,
SRGHFL,231019,4733,2246,EQ,4733,264.55,261.5,,
TECH,231019,6299,3382,EQ,6299,32.46,32.42,,
TNIDETF,231019,10319,5944,EQ,10319,66.96,67.19,,
TREL,231019,929555,524172,EQ,929555,44.8,45.8,,
TVSHLTD,231019,7299,5428,EQ,7299,5564.95,5571.2,,
UTIBANKETF,231019,22131,18122,EQ,22131,44.49,44.64,,
UTINEXT50,231019,16918,12970,EQ,16918,47.54,47.73,,
UTINIFTETF,231019,6958,5514,EQ,6958,210.89,211.35,,
UTISENSETF,231019,525,481,EQ,525,705.22,708.38,,
UTISXN50,231019,543,500,EQ,543,59.72,59.77,,
VLEGOV,231019,135608,118388,EQ,135608,32.25,32.45,,
WINSOME,231019,9161,9161,EQ,9161,6.25,6.35,,
YASHO,231019,9205,7463,EQ,9205,1759.4,1758.55,,
DIACABS,231020,12,12,BE,12,63.9,62.65,,
DOLPHIN,231020,51,51,BE,51,506.9,497.0,,
GATECHDVR,231020,134066,134066,BE,134066,12.05,11.85,,
GTECJAINX,231020,811,811,BE,811,101.0,100.85,,
GVPTECH,231020,34987,34987,BE,34987,14.0,14.25,,
LLOYDSENGG,231020,2358686,2358686,BE,2358686,48.7,48.05,,
SAMPANN,231020,20728,20728,BE,20728,17.6,16.8,,
SEMAC,231020,157,157,BE,157,2371.0,2371.5,,
SICALLOG,231020,3593,3593,BE,3593,136.25,129.8,,
TCLCONS,231020,1256,1256,BE,1256,27.85,29.3,,
TPHQ,231020,69210,69210,BE,69210,11.8,11.85,,
