anti,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500440,HINDALCO    ,A ,Q,99.5,99.5,92.4,94.55,94.55,94.75,3246,358008,33910769,,INE038A01020,26-Mar-20,,
500444,WEST COAS PA,B ,Q,114.6,117.5,108.15,116.6,117.2,106.85,316,11970,1382769,,INE976A01021,26-Mar-20,,
500449,HIND.ORG.CHM,B ,Q,6.98,7.45,6.51,7.12,7.12,6.98,147,63607,455393,,INE048A01011,26-Mar-20,,
500456,PAS.ACRYLON ,X ,Q,5.85,7.18,5.85,6.79,6.79,6.5,41,15950,106246,,INE818B01023,26-Mar-20,,
500459,PROCTER &GAM,A ,Q,9140,10037.2,9000,9501.95,9545.65,9139.9,149,376,3545199,,INE179A01014,26-Mar-20,,
500460,MUKAND LTD. ,B ,Q,13,13.5,12.7,12.7,12.7,12.9,115,413,5471,,INE304A01026,26-Mar-20,,
500463,AGCNET      ,T ,Q,273.1,273.1,273.1,273.1,273.1,287.45,5,103,28129,,INE676A01019,26-Mar-20,,
500464,UCAL FUEL   ,B ,Q,72,76,71,71.8,71,72,51,1184,87573,,INE139B01016,26-Mar-20,,
500467,HARR.MALAYAL,B ,Q,50,53,50,50.25,50.25,50.45,70,2225,113694,,INE544A01019,26-Mar-20,,
500469,FEDERAL BANK,A ,Q,39.6,44.7,37.75,41.8,41.85,38.35,5295,1748712,73543365,,INE171A01029,26-Mar-20,,
500470,TATA STEEL  ,A ,Q,289,295.55,280.1,285.75,285.75,285.65,10245,648517,187296882,,INE081A01012,26-Mar-20,,
500472,SKF INDIA   ,A ,Q,1415,1555.25,1411,1488.3,1498.95,1369.55,86,205,302765,,INE640A01023,26-Mar-20,,
500477,ASHOK LEYL. ,A ,Q,35.8,44.7,33.8,43.15,43.15,34.45,16224,4327479,169286924,,INE208A01029,26-Mar-20,,
500480,CUMMINS (I) ,A ,Q,373.2,389,365.7,379,379,370.2,1033,26182,9898355,,INE298A01020,26-Mar-20,,
500483,TATA COMM   ,B ,Q,232,241.9,229.5,238.6,237,225.55,804,9099,2154669,,INE151A01013,26-Mar-20,,
500488,ABBOTT (I)  ,A ,Q,14800,14810.8,14225.05,14426.15,14400,14219.7,350,743,10759265,,INE358A01014,26-Mar-20,,
500490,BAJ HOLD INV,A ,Q,1697.25,1759.85,1634.05,1750.7,1750.7,1599.9,606,5850,10206413,,INE118A01012,26-Mar-20,,
500493,BHARAT FORGE,A ,Q,252.9,288,248.85,284.2,285.35,253.45,2367,110358,30225062,,INE465A01025,26-Mar-20,,
500495,ESCORTS LTD.,A ,Q,647,683.95,634,663.8,663.8,646.9,3914,144081,95207954,,INE042A01014,26-Mar-20,,
500500,HIND.MOTORS ,B ,Q,2.99,3.39,2.87,2.95,3,2.99,37,4243,13382,,INE253A01025,26-Mar-20,,
500510,LARSEN & TOU,A ,Q,782.2,843.2,754.5,839.9,839.9,766.55,19493,7658205,6310618028,,INE018A01030,26-Mar-20,,
500520,MAH & MAH   ,A ,Q,294,299.55,270.55,287.5,287.5,277.75,6096,303101,86086630,,INE101A01026,26-Mar-20,,
500530,BOSCH LTD   ,A ,Q,9360,10047.25,9021,9871.65,9871.65,9271.7,508,1027,9986945,,INE323A01026,26-Mar-20,,
500540,PREMIER LTD ,B ,Q,1.24,1.24,1.24,1.24,1.24,1.3,92,2363,2930,,INE342A01018,26-Mar-20,,
500547,BHARAT PET. ,A ,Q,276,286.15,268.85,282.4,282.4,273.4,6253,267518,74782656,,INE029A01011,26-Mar-20,,
500550,SIEMENS LTD.,A ,Q,1086.75,1138,1076.8,1091.65,1098,1053.05,1691,20666,22880537,,INE003A01024,26-Mar-20,,
500570,TATA MOTORS ,A ,Q,71.7,73.5,68.3,70.8,70.8,70.2,13500,2888342,204971329,,INE155A01022,26-Mar-20,,
500575,VOLTAS LTD  ,A ,Q,489,522,474,503.5,503.5,490.9,1758,47699,23587063,,INE226A01021,26-Mar-20,,
500620,GREAT EASTE ,A ,Q,204.4,210.4,190.5,197.3,191,198.4,169,4979,978535,,INE017A01032,26-Mar-20,,
500645,DEEPAK FERT.,A ,Q,70.25,82.9,68.25,72.9,72.9,69.85,2315,81771,6272155,,INE501A01019,26-Mar-20,,
500650,EXCEL INDUST,B ,Q,430,477.45,413.1,442.6,477.45,408,135,1036,448563,,INE369A01029,26-Mar-20,,
500655,GARWARE POLY,X ,Q,140.3,148,134.1,145.4,145.4,140.3,101,5750,826431,,INE291A01017,26-Mar-20,,
500660,GLAXOSMITH  ,A ,Q,1197,1235,1175,1196.25,1188.1,1190.55,395,2058,2486026,,INE159A01016,26-Mar-20,,
500670,GUJ.NARMADA ,A ,Q,105.05,115,100.65,110.05,110.05,101.95,3015,120000,12895397,,INE113A01013,26-Mar-20,,
500672,NOVARTIS    ,B ,Q,452.6,467.05,450.05,458.65,452.2,446.6,376,10137,4648238,,INE234A01025,26-Mar-20,,
500674,SANOFI      ,A ,Q,6100,6176.25,6075,6123.95,6130,6079.85,346,698,4279131,,INE058A01010,26-Mar-20,,
500676,GLAXOSMITHKL,A ,Q,9244.95,9769.95,9100,9584.15,9700.65,9188.2,501,1198,11240513,,INE264A01014,26-Mar-20,,
500680,PFIZER LTD. ,A ,Q,3693.05,3945,3693.05,3892.1,3900,3690.95,717,2122,8164934,,INE182A01018,26-Mar-20,,
500690,GUJ.ST.FERT ,A ,Q,33.4,36.45,33.25,36.25,36.25,33.15,1667,57372,2018934,,INE026A01025,26-Mar-20,,
500696,HIND UNI LT ,A ,Q,2099,2284.25,2061,2217.2,2217.2,2076.6,10701,124213,267751254,,INE030A01027,26-Mar-20,,
500710,AKZOINDIA   ,A ,Q,2014.2,2079.8,1962.3,2061.55,2039.6,1990.9,307,1041,2108896,,INE133A01011,26-Mar-20,,
500730,NOCIL LTD   ,A ,Q,59,65.15,55,60.95,60.95,55.8,2236,199152,12363110,,INE163A01018,26-Mar-20,,
500770,TATA CHEM.  ,A ,Q,217.8,234.3,213,224.95,228.25,211.2,3188,101039,23062372,,INE092A01019,26-Mar-20,,
500777,T.P.L.      ,B ,Q,22.8,24.55,22.7,24.1,24.5,22.65,360,10321,245385,,INE148A01019,26-Mar-20,,
500780,ZUARIGLOB   ,B ,Q,26.4,27.8,26.35,27.8,27.8,26.3,10,46,1214,,INE217A01012,26-Mar-20,,
500790,NESTLE (I)  ,A ,Q,14890,15642.55,14059.5,15035.7,15035.7,14431.7,1626,3829,56693885,,INE239A01016,26-Mar-20,,
500800,TATACONSUM  ,A ,Q,284,293.6,272.9,279.45,279.45,276.7,1903,121110,34253025,,INE192A01025,26-Mar-20,,
500820,ASIAN PAINTS,A ,Q,1647.8,1690,1572.9,1629.7,1629.7,1594.05,6062,121252,195367158,,INE021A01026,26-Mar-20,,
500825,BRITANIA IND,A ,Q,2499,2664.05,2420.7,2593.7,2593.7,2450.05,3205,19188,48436628,,INE216A01030,26-Mar-20,,
