Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
ICICI Securities,541179,ISEC,Finance & Investments,721.8,3274.33,23361.84,,
360 ONE,542772,360ONE,Finance & Investments,641.35,3265.2,23015.63,,
Godrej Industrie,500164,GODREJIND,Chemicals,681.75,8224.11,22962.13,,
SKF India,500472,SKFINDIA,Bearings,4644.5,2388.41,22953.16,,
Devyani Intl.,543330,DEVYANI,Hotels,188.95,1035.6,22790.61,,
J B Chem & Pharm,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1459.95,2716.71,22668.09,,
Relaxo Footwear,530517,RELAXO,Leather / Leather Products,898.8,1897.64,22365.98,,
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,789.85,9327.1,22299.24,,
Emami,531162,EMAMILTD,Personal Care - Indian,497.85,2405.7,21919.15,,
M R P L,500109,MRPL,Refineries,123.7,11906.57,21679.67,,
KIOCL,540680,KIOCL,Mining / Minerals / Metals,355.35,1922.6,21632.57,,
Apar Inds.,532259,APARINDS,Electric Equipment,5361.5,2463.33,21540.06,,
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,1348.6,2503.01,21484.38,,
Hitachi Energy,543187,POWERINDIA,Electric Equipment,5034.1,1224.63,21357.29,,
Radico Khaitan,532497,RADICO,Breweries & Distilleries,1586.35,2241.93,21247.23,,
Piramal Enterp.,500302,PEL,Finance & Investments,885.35,28710.13,21145.48,,
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels,1111.5,2864.1,21120.05,,
Sonata Software,532221,SONATSOFTW,Computers - Software - Medium / Small,752.15,1440.04,21096.33,,
Bata India,500043,BATAINDIA,Leather / Leather Products,1633.25,1403.09,21008.7,,
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals - Indian - Formulations,388.3,4052.76,20928.95,,
Aarti Industries,524208,AARTIIND,Chemicals,573.6,5029,20798.35,,
Tata Inv.Corpn.,501301,TATAINVEST,Finance & Investments,4087.85,23733.14,20692.93,,
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,217.35,2939.34,20625.24,,
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare,2469.65,1772.2,20601.87,,
H U D C O,540530,HUDCO,Finance - Housing,101.7,15722.62,20368.6,,
Five-Star Bus.Fi,543663,FIVESTAR,Finance & Investments,696.25,4736.28,20343.37,,
PNB Housing,540173,PNBHOUSING,Finance - Housing,782,14155,20278.45,,
Nexus Select,543913,NXST,Construction,133.59,30532.75,20223.82,,
Atul,500027,ATUL,Dyes And Pigments,6817.3,4901.57,20136.44,,
Sumitomo Chemi.,542920,SUMICHEM,Pesticides / Agrochemicals - Indian,401.9,2524.6,20060.67,,
Brigade Enterpr.,532929,BRIGADE,Construction,861.55,3382.2,19898.34,,
Gillette India,507815,GILLETTE,Personal Care - Multinational,6048.85,988.86,19716.7,,
I D F C,532659,IDFC,Finance & Investments,122,12126.48,19527.52,,
Birlasoft Ltd,532400,BSOFT,Computers - Software - Medium / Small,706,2724.76,19457.02,,
Pfizer,500680,PFIZER,Pharmaceuticals - Multinational,4240,3272.99,19419.71,,
Aster DM Health.,540975,ASTERDM,Healthcare,386.4,4373.03,19355.03,,
Natl. Aluminium,532234,NATIONALUM,Aluminium and Aluminium Products,104.3,13608.7,19167.98,,
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,297.15,2730.15,19020.18,,
Chola Financial,504973,CHOLAHLDNG,Finance & Investments,1012.75,8475.39,19008.01,,
Hindustan Copper,513599,HINDCOPPER,Mining / Minerals / Metals,196.6,2188.35,19002.54,,
Blue Star,500067,BLUESTARCO,Air-conditioners,924.1,2352.15,18991.85,,
C D S L,,CDSL,Miscellaneous,1806.95,1226.92,18882.63,,
Mindspace Busine,543217,MINDSPACE,Construction,316.29,14481.6,18710.49,,
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals,3721.3,2266.23,18452.86,,
R R Kabel,543981,RRKABEL,Cables - Power,1631.8,1713.81,18438.9,,
Motil.Oswal.Fin.,532892,MOTILALOFS,Finance & Investments,1232.05,7464.51,18312.56,,
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,7947.75,724.2,18290.96,,
Trident,521064,TRIDENT,Textiles - Products,35.4,4150.42,18034.83,,
Century Plyboard,532548,CENTURYPLY,Miscellaneous,802.05,2073.52,17807.47,,
CIE Automotive,532756,CIEINDIA,Castings & Forgings,465.1,5098.56,17651.59,,
Tata Tele. Mah.,532371,TTML,Telecommunications - Service Provider,89.3,-19143.13,17474.14,,
Vinati Organics,524200,VINATIORGA,Chemicals,1700.5,2314,17473,,
