SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
JIWANRAM,Jiwanram Sheoduttrai Industries Limited,SM,18-Sep-23,10,INE0N5H01017,10,16.4,,KNAGRI,N,8602,KNAGRI    SM,133.85,133.85,134.53,134.87,135.02,135.12,160,117,,12,,
JSLL,Jeena Sikho Lifecare Limited,ST,19-Apr-22,10,INE0J5801011,10,603.65,,KODYTECH,N,18751,KODYTECH  SM,428.45,401.86,380.77,358.4,327.08,281.82,,,,12,,
KANDARP,Kandarp Digi Smart BPO Limited,SM,28-Sep-22,10,INE0MOT01016,10,16.1,,KONTOR,N,19287,KONTOR    SM,78.45,77.25,78.46,79.88,81.91,84.3,,,,12,,
KARNIKA,Karnika Industries Limited,SM,12-Oct-23,10,INE0MGA01012,10,121.95,,KORE,N,10889,KORE      SM,379.95,387.03,392.28,391.55,369.64,285.74,430,273,,12,,
KCK,Kck Industries Limited,SM,8-Jul-22,10,INE0J1E01019,10,27.65,,KOTYARK,N,6441,KOTYARK   SM,954.9,952.05,941.26,905.41,834.22,650.69,1050,556,,12,,
KDL,Kore Digital Limited,SM,14-Jun-23,10,INE0O4R01018,10,466.2,,KRISHCA,N,16133,KRISHCA   SM,223,225.59,226.32,227.15,227.49,199.01,280,196.3,,12,,
KEL,Kundan Edifice Limited,SM,26-Sep-23,10,INE0OWX01025,10,252.3,,KRISHIVAL,N,8671,KRISHIVAL SM,285,282.48,282.38,282.44,280.37,262.91,309.75,242,,12,,
KHFM,Khfm Hospitality And Facility Management Services Limited,SM,12-Apr-19,10,INE00UG01014,10,53,,KRISHNADE,N,8782,KRISHNADEFSM,382.15,373.9,362.18,343.79,316.8,244.14,400,265.65,,12,,
KKVAPOW,KKV Agro Powers Limited,SM,15-Jul-16,10,INE239T01016,10,621,,LEMERITE,N,9372,LEMERITE  SM,43.95,44.02,44.3,44.93,46.1,50.53,58.95,40.55,,12,,
KNAGRI,KN Agri Resources Limited,SM,28-Mar-22,10,INE0KNW01016,10,133.85,,LLOYDS,N,11472,LLOYDS    SM,99.7,98.63,100.45,101.69,98.7,81.42,124.7,70,,12,,
KODYTECH,Kody Technolab Limited,SM,27-Sep-23,10,INE0Q7P01013,10,428.45,,LRRPL,N,14204,LRRPL     SM,37.05,37.71,37.64,38.68,42.54,45,59,32.5,,12,,
KONTOR,Kontor Space Limited,SM,10-Oct-23,10,INE0KZ301010,10,78.45,,MADHAVBAU,N,8259,MADHAVBAUGSM,224.9,224.73,225.93,233.96,257.33,260.62,353,178.1,,12,,
KORE,Jay Jalaram Technologies Limited,SM,8-Sep-22,10,INE0J6801010,10,379.95,,MADHUSUDA,N,18728,MADHUSUDANSM,118.95,120.98,124.67,127.26,126.19,122.44,,,,12,,
KOTYARK,Kotyark Industries Limited,SM,2-Nov-21,10,INE0J0B01017,10,954.9,,MAGSON,N,17088,MAGSON    SM,134.75,131.37,128.61,124.9,114.42,94.86,143.05,78,,12,,
KRISHCA,Krishca Strapping Solutions Limited,SM,26-May-23,10,INE0NR701018,10,223,,MAHICKRA,N,2839,MAHICKRA  SM,105,102.56,101.83,99.98,94.86,87.78,118.1,79.2,,12,,
