Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,509084,16,16,97.05,102.15,0.02,XT
230222,509152,117,97,2728.0,2782.9,2.65,B 
230222,509162,28834,21017,107.85,106.55,22.67,X 
230222,509196,1580,1400,86.0,91.5,1.2,X 
230222,509220,8619,6273,30.75,31.0,1.93,B 
230222,509243,714,470,2799.55,2865.5,13.16,B 
230222,509438,23,14,3328.1,3322.6,0.47,X 
230222,509449,79,79,40.7,42.8,0.03,XT
230222,509470,56,36,11170.0,10700.0,4.02,X 
230222,509472,15,13,389.65,371.05,0.05,X 
230222,509480,40018,17673,566.65,570.65,100.14,A 
230222,509486,9769,8132,100.4,105.05,8.16,X 
230222,509488,12306,5445,307.55,311.95,16.75,A 
