Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,505650,1916,1646,10.9,10.9,0.18,X 
230420,505681,1857,1114,390.9,393.2,4.35,X 
230420,505688,4434,3739,121.5,122.7,4.54,B 
230420,505690,261,206,227.05,239.0,0.47,X 
230420,505693,37104,37104,10.01,10.15,3.71,XT
230420,505700,40154,19398,448.95,444.5,87.09,A 
230420,505703,51,51,43.15,44.0,0.02,XT
230420,505710,57063,23307,115.22,114.98,26.85,B 
230420,505712,10233,9424,84.39,79.05,7.95,X 
230420,505714,68644,39226,152.75,147.3,59.92,B 
230420,505720,602,442,199.9,198.25,0.88,B 
230420,505725,6949,3432,599.85,595.3,20.59,X 
230420,505726,1261,699,847.9,854.95,5.93,A 
230420,505729,152312,115700,76.34,78.3,88.33,X 
230420,505737,1579,1189,453.8,455.65,5.4,X 
230420,505744,5754,3240,317.2,301.1,10.28,B 
230420,505750,9900,8126,850.3,774.25,69.1,X 
230420,505790,5596,2403,2777.6,2853.55,66.75,A 
230420,505800,754,753,925.0,924.95,6.97,B 
230420,505807,400,400,309.8,300.05,1.24,P 
230420,505827,438,321,276.65,279.3,0.89,X 
230420,505840,8182,7580,31.21,30.05,2.37,X 
230420,505850,6984,465,116.8,116.9,0.54,X 
230420,505854,4889,4041,166.65,166.9,6.73,B 
230420,505872,23383,14898,2697.9,2697.1,401.93,B 
230420,505890,272,154,2164.2,2199.5,3.33,A 
230420,505893,119,115,261.95,262.05,0.3,X 
230420,505978,1184,1011,1466.25,1488.95,14.82,X 
230420,506003,779,779,5.9,5.9,0.05,X 
230420,506022,45482,15045,53.11,53.24,7.99,B 
230420,506074,27473,25963,6.02,5.96,1.56,B 
230420,506076,557,202,1858.7,1863.65,3.75,A 
230420,506105,106,71,78.01,79.0,0.06,X 
230420,506109,120934,120842,300.8,309.05,363.49,B 
230420,506122,51,51,76.0,75.72,0.04,XT
230420,506128,87538,50925,75.69,63.08,38.55,X 
230420,506146,362234,362234,0.97,1.0,3.51,T 
230420,506184,9711,6651,7.06,7.12,0.47,B 
230420,506186,141,141,12.81,12.81,0.02,XT
230420,506194,70328,40009,215.45,215.95,86.2,B 
