Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Tapi Fruit Processing Ltd.,6000,182.95,176.9,10.977,TAPIFRUIT,,SM
Tara Chand Infralogistic Solut,28000,137.85,140.7,38.598,TARACHAND,,SM
Timescan Logistics (India) Ltd,1000,175.0,175.0,1.75,TIMESCAN,,SM
Transwind Infrastructures Ltd.,8000,9.65,10.15,0.772,TRANSWIND,,SM
Tridhya Tech Ltd.,21000,41.2,41.1,8.652000000000001,TRIDHYA,,SM
Uma Converter Ltd.,76000,32.25,33.5,24.51,UMA,,SM
Upsurge Seeds Of Agriculture L,3600,389.0,401.4,14.004,USASEEDS,,SM
Urban Enviro Waste Management ,8400,141.0,135.55,11.844,URBAN,,SM
Varanium Cloud Ltd.,1210000,206.9,229.85,2503.49,CLOUD,,SM
Vasa Denticity Ltd.,22000,480.0,471.0,105.6,DENTALKART,,SM
Vels Film International Ltd.,9600,132.75,122.0,12.744,VELS,,SM
Viaz Tyres Ltd.,18000,40.7,41.15,7.326,VIAZ,,SM
Vilin Bio Med Ltd.,12000,22.5,22.7,2.7,VILINBIO,,SM
Vital Chemtech Ltd.,48000,102.2,97.5,49.056,VITAL,,SM
Viviana Power Tech Ltd.,4000,153.0,150.3,6.12,VIVIANA,,SM
Vivo Collaboration Solutions L,3200,103.5,105.7,3.312,VIVO,,SM
V-Marc India Ltd.,45000,116.0,114.1,52.2,VMARCIND,,SM
Oriana Power Limited,57600,335.3,316.55,193.1328,ORIANA,,SM
Sangani Hospitals Limited,48000,44.55,41.9,21.384,SANGANI,,SM
Service Care Limited,4000,59.0,56.8,2.36,SERVICE,,SM
Shri Techtex Limited,44000,83.05,79.25,36.542,SHRITECH,,SM
Srivari Spices & Foods Ltd,84000,123.4,115.4,103.656,SSFL,,SM
Vinsys IT Services India Ltd,31000,264.9,278.4,82.11899999999999,VINSYS,,SM
Yasons Chemex Care Ltd,33000,29.7,28.85,9.801,YCCL,,SM
Yudiz Solutions Ltd,7200,156.45,162.35,11.2644,YUDIZ,,SM
Zeal Global Services Ltd,24000,184.8,187.55,44.352,ZEAL,,SM
Crop Life Science Limited,32000,43.75,41.5,14.0,CLSL,,SM
Sungarner Energies Limited,20800,199.35,209.0,41.4648,SEL,,SM
Sahaj Fashions,12000,26.4,27.0,3.168,SAHAJ,,SM
CPS Shapers,5400,465.0,458.1,25.11,CPS,,SM
Mono Pharmacare,232000,41.15,36.95,95.468,MONOPHARMA,,SM
Basilic Fly Studio,54000,281.9,280.85,152.22599999999997,BASILIC,,SM
Pramara Promotions Limited,4000,88.0,88.0,3.52,PRAMARA,,SM
Saroja Pharma Industries Limit,8000,59.8,59.5,4.784,SAROJA,,SM
Unihealth Consultancy,17000,127.65,125.85,21.7005,UNIHEALTH,,SM
Jiwanram Sheoduttrai,378000,20.55,19.15,77.679,JIWANRAM,,SM
Holmarc Opto Mechatronics,123000,105.55,115.8,129.8265,HOLMARC,,SM
Chavda Infra,96000,91.2,90.5,87.552,CHAVDA,,SM
Madhusudan Masala,254000,129.85,120.05,329.819,MADHUSUDAN,,SM
Kundan Edifice,34800,75.75,75.35,26.361,KEL,,SM
Kody Techno,43200,253.95,238.75,109.7064,KODYTECH,,SM
Cellcor Gadgets,248400,144.65,137.8,359.3106,CELLECOR,,ST
Marco Cables,27000,48.95,46.65,13.2165,MARCO,,ST
HiGreen Carbon,147200,125.2,119.25,184.2944,HIGREEN,,ST
Master Components,10000,141.8,143.0,14.18,MASTER,,ST
Saakshi Medtech,46800,204.9,195.15,95.8932,SAAKSHI,,ST
Digikore Studios,43200,306.6,292.0,132.45120000000003,DIGIKORE,,ST
Mangalam Alloys,222400,58.3,61.35,129.6592,MAL,,ST
NewJaisa Tech,21000,86.2,82.1,18.102,NEWJAISA,,ST
Inspire Films,160000,72.1,68.7,115.36,INSPIRE,,ST
Vinyas Innovative Technologies,12800,421.05,401.0,53.8944,VINYAS,,ST
Arabian Petroleum,84000,73.0,71.1,61.32,ARABIAN,,ST
E Factor Experiences,308800,130.65,124.45,403.4472,EFACTOR,,ST
Kontor Limited,6000,104.6,110.1,6.276,KONTOR,,ST
VishnuSurya Infra,112000,84.45,80.45,94.584,VISHNUINFR,,ST
Goyal Salt Limited,384000,137.3,136.1,527.2320000000001,GOYALSALT,,ST
Canarys Automation,1208000,39.25,41.3,474.14,CANARYS,,ST
Oneclick Logistics India,4800,126.35,133.0,6.0648,OLIL,,ST
Sharp Chucks and Machines Limi,1546000,65.05,58.0,1005.673,SCML,,ST
Karnika Industries Limited,1656000,82.6,76.0,1367.856,KARNIKA,,ST
,390000,15.73,13.11,61.347,,536737,M 
